Mes,Código Material,Venta Neta Kilos
2020-01,1003831,10.0
2020-01,1003856,0.0
2020-01,1003863,200.0
2020-01,1003866,60.0
2020-01,1003872,25.0
2020-01,1003874,0.0
2020-01,1003875,412.5
2020-01,1003883,100.0
2020-01,1003915,48.0
2020-01,1003916,168.0
2020-01,1003930,4.0
2020-01,1003934,0.0
2020-01,1004126,61.0
2020-01,1004134,0.0
2020-01,1004146,100.0
2020-01,1004147,0.0
2020-01,1004157,525.0
2020-01,1004158,0.0
2020-01,1004159,4.0
2020-01,1007307,2.0
2020-01,1007308,0.0
2020-01,1007309,0.0
2020-01,1007310,0.0
2020-01,1007496,0.0
2020-01,1008505,1340.0
2020-01,1010520,24.0
2020-01,1010975,20.0
2020-01,1010976,0.0
2020-01,1012304,500.0
2020-01,1012308,80.0
2020-01,1015577,5.0
2020-01,1015578,400.0
2020-01,1016231,2000.0
2020-01,1018660,0.0
2020-01,1018661,0.0
2020-01,1018662,0.0
2020-01,1025986,0.0
2020-01,1030868,24.0
2020-01,1030869,1944.0
2020-01,1030870,24.0
2020-01,1032673,18.0
2020-01,3001601,19125.0
2020-01,3002507,2500.0
2020-01,3014380,3200.0
2020-01,3017624,2900.0
2020-01,3018803,1224.0
2020-01,3019452,42121.0
2020-01,1003831,30.0
2020-01,1003856,760.0
2020-01,1003863,320.0
2020-01,1003865,0.0
2020-01,1003866,180.0
2020-01,1003872,137.5
2020-01,1003875,700.0
2020-01,1003883,80.0
2020-01,1003915,24.0
2020-01,1003916,36.0
2020-01,1003934,0.0
2020-01,1004126,1.0
2020-01,1004132,0.0
2020-01,1004134,50.0
2020-01,1004135,0.0
2020-01,1004146,100.0
2020-01,1004147,100.0
2020-01,1004150,0.0
2020-01,1004157,335.0
2020-01,1004159,1350.0
2020-01,1007270,0.0
2020-01,1007307,24.0
2020-01,1007310,0.0
2020-01,1008505,800.0
2020-01,1010975,280.0
2020-01,1010976,580.0
2020-01,1012304,500.0
2020-01,1012308,120.0
2020-01,1015578,0.0
2020-01,1018434,720.0
2020-01,1018660,0.0
2020-01,1018661,0.0
2020-01,1018662,0.0
2020-01,1025298,20.0
2020-01,1025986,8.0
2020-01,1026978,0.0
2020-01,1030868,1344.0
2020-01,1030869,2400.0
2020-01,1030870,2400.0
2020-01,1030871,144.0
2020-01,1032664,20.8
2020-01,1032665,5.2
2020-01,1032673,18.0
2020-01,1041317,425.0
2020-01,1041779,100.0
2020-01,1041780,110.0
2020-01,1041781,30.0
2020-01,1041782,260.0
2020-01,1041787,0.0
2020-01,1041807,0.0
2020-01,3001601,9000.0
2020-01,3001603,15000.0
2020-01,3001605,200.0
2020-01,3002507,5000.0
2020-01,3014380,1900.0
2020-01,3017186,500.0
2020-01,3017624,2440.0
2020-01,3019451,8378.0
2020-01,3019452,48508.0
2020-01,3021522,5120.0
2020-01,1003831,50.0
2020-01,1003856,85.0
2020-01,1003861,20.0
2020-01,1003863,260.0
2020-01,1003865,0.0
2020-01,1003866,100.0
2020-01,1003870,150.0
2020-01,1003872,25.0
2020-01,1003874,67.5
2020-01,1003875,1225.0
2020-01,1003883,40.0
2020-01,1003915,24.0
2020-01,1003916,24.0
2020-01,1003930,0.0
2020-01,1003934,0.0
2020-01,1004126,2.0
2020-01,1004132,0.0
2020-01,1004134,70.0
2020-01,1004135,0.0
2020-01,1004146,100.0
2020-01,1004147,20.0
2020-01,1004157,440.0
2020-01,1004158,0.0
2020-01,1004159,1640.0
2020-01,1007307,134.0
2020-01,1007308,16.0
2020-01,1007309,800.0
2020-01,1007310,100.0
2020-01,1008218,48.0
2020-01,1008505,2500.0
2020-01,1010520,144.0
2020-01,1010975,20.0
2020-01,1012304,80.0
2020-01,1012308,120.0
2020-01,1015578,200.0
2020-01,1015883,400.0
2020-01,1016231,2200.0
2020-01,1016242,36.0
2020-01,1017862,400.0
2020-01,1018434,1540.0
2020-01,1018660,1.8
2020-01,1018661,25.0
2020-01,1018662,0.0
2020-01,1019983,0.5
2020-01,1025298,5.0
2020-01,1025986,0.0
2020-01,1026978,0.0
2020-01,1030868,12528.0
2020-01,1030869,2496.0
2020-01,1030870,528.0
2020-01,1030871,120.0
2020-01,1031806,120.0
2020-01,1032664,20.8
2020-01,1032673,6.0
2020-01,1041591,20.0
2020-01,1041779,20.0
2020-01,1041781,5.0
2020-01,1041787,5.0
